Number of computed data,Average time spent in total,Relative standard deviation (total),Average time spent on the quantum circuit,Relative standard deviation (quantum)
1.0,0.10216290952938231,0.13925727164842366,0.06830868719211426,0.031265026689692624
100.0,1.544096064535657,0.013771861223812016,1.4434332370950682,0.008096924653936596
200.0,2.978978300135754,0.00958821148357971,2.830759549081128,0.009314879339614553
300.0,4.416860842728772,0.007008344717779977,4.220986008703504,0.007942798470297864
400.0,5.901849460598719,0.007146178667089086,5.659018397330224,0.00880647976702581
500.0,7.366585397650208,0.008520560357725535,7.0576458216234865,0.00915844540131217
600.0,8.806468272222803,0.007577378088231655,8.446872138983593,0.008644678598149071
700.0,10.23734998769226,0.007532656945874663,9.831248235785008,0.009093064329778895
800.0,11.727189206326111,0.006855836609326984,11.27128112438684,0.009041972417343386
900.0,13.199276113721803,0.005176820741804668,12.675709295900635,0.007181950551936787
1000.0,14.637508725449706,0.005439459037707056,14.065885997721498,0.00760975479535198
1100.0,16.0665901897041,0.005666502257844619,15.448161244783813,0.008020560244228916
1200.0,17.549378537511842,0.005255779025074795,16.881942820542967,0.007774615526468983
1300.0,19.00791373155365,0.005580251808699388,18.26631858334906,0.008108683928702218
1400.0,20.440145539830688,0.0056356421685713615,19.648293828668212,0.008382310197907855
1500.0,21.87372758401056,0.0054314278619185885,21.02946929884326,0.008518217644620085
1600.0,23.383969426545228,0.0054206545002380155,22.487104320613344,0.008684851263322588
1700.0,24.835803770618163,0.0054620873755119774,23.870830392493836,0.008781028480419055
1800.0,26.271836137127565,0.00550746844371868,25.255106140097105,0.009125043519234832
1900.0,27.71926991975073,0.005614842264456148,26.644132423714417,0.009106512567740288
2000.0,29.21946039295606,0.005552314883702091,28.09676718813251,0.00838235216020973
4000.0,57.81339139950599,0.009241491360780138,56.180783892541555,0.011314226476881245
6000.0,86.31536064076226,0.008818107166062199,84.16978874109729,0.010402528165611494
8000.0,114.98640144005462,0.008230473215763421,112.31741101758912,0.009191743017047735
10000.0,143.62363792029205,0.008673532991161243,140.44408139843628,0.009357623167615414
12000.0,172.06950004478148,0.00851142677734978,168.38873145357604,0.009351772172400333
14000.0,200.42345058011625,0.008272110553337533,196.24241976364777,0.009119183852137705
16000.0,228.86771248044343,0.008649379239140257,224.17601795738193,0.009535398632487533
18000.0,257.2361648352716,0.008622208421964766,252.05411014672518,0.009457464857645545
20000.0,285.6519731733737,0.00865481785263014,279.9694546697907,0.009421933315548215
22000.0,314.0444786064685,0.008744149813595243,307.8765985414688,0.009465939079403482
24000.0,342.4981416851419,0.008705167950229884,335.82899876660184,0.009382835162937165
26000.0,370.9507547375952,0.008775758808192629,363.7764980778851,0.009420767817941789
28000.0,399.41016867819917,0.008685100338775021,391.74150098022403,0.009303405093530354
30000.0,427.91558839755214,0.00890026730232228,419.7520094848862,0.009502443235546623
32000.0,456.38800399486416,0.008767692652644642,447.7260620806995,0.009342222805491391
34000.0,484.77330839621516,0.008831530804239077,475.621406933103,0.009371567229173892
36000.0,513.26927687966,0.009025138824487447,503.6036585789572,0.009530751962602998
38000.0,541.8371045566449,0.009067865997050414,531.6541717503869,0.009535507368126318
40000.0,570.2428116645895,0.00906966292712354,559.561565472608,0.00954193345841274
42000.0,598.7665336978772,0.009076992950017767,587.5764220103415,0.009568141261903125
44000.0,627.4010198634472,0.00945351051903296,615.70329511145,0.009945450907369932
46000.0,655.9816991109967,0.009676457505886152,643.7895602243427,0.010167987397813882
48000.0,684.4221605947916,0.009811367633257788,671.7318074470767,0.010300755352038839
50000.0,713.0644977354383,0.010185651366213359,699.8790328664957,0.010673103151792965
