Number of computed data,Average time spent in total,Relative standard deviation (total),Average time spent on the quantum circuit,Relative standard deviation (quantum)
1.0,13.681587338,0.07541909743466753,12.342765451,0.07122879220838076
100.0,13.784450388,0.07601233415495133,12.342765451,0.07122879220838076
200.0,13.909266234999999,0.07576761848104638,12.342765451,0.07122879220838076
300.0,14.026381133000001,0.07541265167852648,12.342765451,0.07122879220838076
400.0,14.144696118999999,0.07509805207938115,12.342765451,0.07122879220838076
500.0,14.263761234,0.07469824822200603,12.342765451,0.07122879220838076
600.0,14.379225946,0.07440595264878958,12.342765451,0.07122879220838076
700.0,14.496590781999998,0.07408132600520756,12.342765451,0.07122879220838076
800.0,14.615155816999998,0.07392603470568704,12.342765451,0.07122879220838076
900.0,14.740521788999999,0.0739250546406828,12.342765451,0.07122879220838076
1000.0,14.860737061999998,0.07336791284238837,12.342765451,0.07122879220838076
1100.0,14.975351573000001,0.07317060358351728,12.342765451,0.07122879220838076
1200.0,15.091066289,0.0729061343932352,12.342765451,0.07122879220838076
1300.0,15.209881402000002,0.07263399945805311,12.342765451,0.07122879220838076
1400.0,15.326646185000001,0.0723337102759172,12.342765451,0.07122879220838076
1500.0,15.444011116999999,0.07200991288202367,12.342765451,0.07122879220838076
1600.0,15.559475779,0.07173642288914492,12.342765451,0.07122879220838076
1700.0,15.677440764,0.07140791951638682,12.342765451,0.07122879220838076
1800.0,15.79395559,0.07111279064737365,12.342765451,0.07122879220838076
1900.0,15.910620355999999,0.0708154782886168,12.342765451,0.07122879220838076
2000.0,16.029485416,0.0704958033617904,12.342765451,0.07122879220838076
4000.0,17.68139527,0.08026699395008584,12.342765451,0.07122879220838076
6000.0,19.393462658,0.087599826133682,12.342765451,0.07122879220838076
8000.0,21.2043926,0.09199729105641709,12.342765451,0.07122879220838076
10000.0,23.081080913,0.09412080454853156,12.342765451,0.07122879220838076
12000.0,25.074434019999998,0.09177182603291587,12.342765451,0.07122879220838076
14000.0,27.098141002,0.08895670821477358,12.342765451,0.07122879220838076
16000.0,29.170904255,0.08222189915163385,12.342765451,0.07122879220838076
18000.0,31.220214462,0.0768390983530838,12.342765451,0.07122879220838076
20000.0,33.288927078,0.07232852080780938,12.342765451,0.07122879220838076
22000.0,35.346588444000005,0.06819704188191762,12.342765451,0.07122879220838076
24000.0,37.398749066,0.06448987745269896,12.342765451,0.07122879220838076
26000.0,39.459510683000005,0.061209747631733404,12.342765451,0.07122879220838076
28000.0,41.514621663999996,0.058436352075210515,12.342765451,0.07122879220838076
30000.0,43.593085574999996,0.056088048616877946,12.342765451,0.07122879220838076
32000.0,45.667749047,0.05382060158413068,12.342765451,0.07122879220838076
34000.0,47.732061146,0.05161169783229191,12.342765451,0.07122879220838076
36000.0,49.783371664,0.049680205187432505,12.342765451,0.07122879220838076
38000.0,51.840082812999995,0.047948833802417386,12.342765451,0.07122879220838076
40000.0,53.903244805,0.046276017260757495,12.342765451,0.07122879220838076
42000.0,55.97085731100001,0.044854816138720374,12.342765451,0.07122879220838076
44000.0,58.044520664000004,0.04312262252215757,12.342765451,0.07122879220838076
46000.0,60.036423612,0.04150708190616278,12.342765451,0.07122879220838076
48000.0,62.0226259,0.040444150391412505,12.342765451,0.07122879220838076
50000.0,64.019029403,0.03977077276654979,12.342765451,0.07122879220838076
