Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,13.05115724,11.80399632,0.065251897
100,13.12766695,11.80399632,0.06594767
200,13.23818088,11.80399632,0.064912727
300,13.34719467,11.80399632,0.065823382
400,13.45670891,11.80399632,0.064886338
500,13.56822276,11.80399632,0.065331851
600,13.6772368,11.80399632,0.065203047
700,13.78875089,11.80399632,0.065225516
800,13.89876485,11.80399632,0.06546898
900,14.00977898,11.80399632,0.065572967
1000,14.14479613,11.80399632,0.065566305
1100,14.23680782,11.80399632,0.06566391
1200,14.34232116,11.80399632,0.065490495
1300,14.45033479,11.80399632,0.065443894
1400,14.56134892,11.80399632,0.065505818
1500,14.67936397,11.80399632,0.065660027
1600,14.78137708,11.80399632,0.065649726
1700,14.89089084,11.80399632,0.065615027
1800,15.0009048,11.80399632,0.06584867
1900,15.11191893,11.80399632,0.065835466
2000,15.2344346,11.80399632,0.065767738
4000,16.51259685,11.80399632,0.066231888
6000,18.56735778,11.80399632,0.066326338
8000,20.83864594,11.80399632,0.066381939
10000,23.20594668,11.80399632,0.066604619
12000,25.48323584,11.80399632,0.066574738
14000,27.775527,11.80399632,0.066552834
16000,30.00581026,11.80399632,0.066608729
18000,32.21559072,11.80399632,0.066572039
20000,34.56788945,11.80399632,0.06660272
22000,36.78767133,11.80399632,0.066629973
24000,38.97444916,11.80399632,0.066627886
26000,41.2367363,11.80399632,0.066624178
28000,43.42001367,11.80399632,0.066616193
30000,45.61879277,11.80399632,0.066616644
32000,47.82307291,11.80399632,0.066568989
34000,50.04985547,11.80399632,0.066582275
36000,52.2356329,11.80399632,0.066556123
38000,54.48591876,11.80399632,0.066558748
40000,56.69469929,11.80399632,0.066593417
42000,58.90648007,11.80399632,0.066598534
44000,61.12476182,11.80399632,0.066599434
46000,63.32254076,11.80399632,0.066588884
48000,65.53632212,11.80399632,0.06662167
50000,67.76560521,11.80399632,0.066623712
