Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,13.94327044,12.57107759,0.072773988
100,14.10879159,12.57107759,0.073115924
200,14.27981329,12.57107759,0.073540224
300,14.39932871,12.57107759,0.07293113
400,14.52034378,12.57107759,0.073289023
500,14.64185953,12.57107759,0.073076153
600,14.76387501,12.57107759,0.072889497
700,14.88489008,12.57107759,0.072936862
800,15.00540519,12.57107759,0.072867078
900,15.12842131,12.57107759,0.072900913
1000,15.24893618,12.57107759,0.073233822
1100,15.36995149,12.57107759,0.073226048
1200,15.4889667,12.57107759,0.07327075
1300,15.60898209,12.57107759,0.073695323
1400,15.72899723,12.57107759,0.073603936
1500,15.84851265,12.57107759,0.073575021
1600,15.96852779,12.57107759,0.073516116
1700,16.08854318,12.57107759,0.073449307
1800,16.20805812,12.57107759,0.073356569
1900,16.32657313,12.57107759,0.073355558
2000,16.44558835,12.57107759,0.073213977
4000,18.4678452,12.57107759,0.073403764
6000,20.47510004,12.57107759,0.073391371
8000,22.50185728,12.57107759,0.073130639
10000,24.51111245,12.57107759,0.073192992
12000,26.53736973,12.57107759,0.073132187
14000,28.55212569,12.57107759,0.073113057
16000,30.56488132,12.57107759,0.073010422
18000,32.59313869,12.57107759,0.073039568
20000,34.60039353,12.57107759,0.073067252
22000,36.62915134,12.57107759,0.073080512
24000,38.64090681,12.57107759,0.073131488
26000,40.64416122,12.57107759,0.073187065
28000,42.66791821,12.57107759,0.073120945
30000,44.67467308,12.57107759,0.073088352
32000,46.6949296,12.57107759,0.073082966
34000,48.71368575,12.57107759,0.073104437
36000,50.72344089,12.57107759,0.073109414
38000,52.74569798,12.57107759,0.073124556
40000,54.74995232,12.57107759,0.07312689
42000,56.7732091,12.57107759,0.073096843
44000,58.78096414,12.57107759,0.073094017
46000,60.81572247,12.57107759,0.073101793
48000,62.85548162,12.57107759,0.073127408
50000,65.00875497,12.57107759,0.073136309
