Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.13501715660095215,0.07000875473022461,0.0727739880012557
100,1.576200008392334,1.446683406829834,0.07311592408436944
200,3.019883394241333,2.851862907409668,0.07354022405973581
300,4.467567205429077,4.255540609359741,0.07293112993497645
400,5.968257665634155,5.714724540710449,0.07328902253110292
500,7.420942306518555,7.1124022006988525,0.07307615323964038
600,8.859124898910522,8.51158094406128,0.07288949719909409
700,10.304308414459229,9.911760091781616,0.07293686235401255
800,11.803998947143555,11.36994481086731,0.0728670779429703
900,13.264684200286865,12.769620656967163,0.07290091282914672
1000,14.720369100570679,14.18380069732666,0.07323382207810322
1100,16.16255235671997,15.582978010177612,0.07322604838776048
1200,17.636739492416382,17.022660970687866,0.07327075028417919
1300,19.124428510665894,18.428839206695557,0.07369532308276368
1400,20.56161093711853,19.82301688194275,0.07360393598391295
1500,21.981791257858276,21.201690912246704,0.0735750214901932
1600,23.47148060798645,22.649876594543457,0.07351611601864173
1700,24.93666648864746,24.04405379295349,0.0734493071963492
1800,26.359347105026245,25.424729824066162,0.07335656899885554
1900,27.797529697418213,26.82540774345398,0.07335555826851646
2000,29.290719509124756,28.278592109680176,0.07321397721124831
4000,58.113879442214966,56.61418700218201,0.07340376363165549
6000,87.00454807281494,85.02229261398315,0.07339137093260077
8000,115.74169731140137,113.22737336158752,0.07313063851960895
10000,144.27782082557678,141.2574338912964,0.07319299232544511
12000,172.9419605731964,169.44951605796814,0.0731321868769233
14000,201.33406615257263,197.37855982780457,0.07311305691515843
16000,230.0112075805664,225.57114601135254,0.07301042233239986
18000,258.50232553482056,253.5997142791748,0.0730395676834059
20000,287.1474630832672,281.7532916069031,0.07306725177954461
22000,315.73059272766113,309.85885429382324,0.0730805115129882
24000,344.3242235183716,337.95042538642883,0.0731314879420387
26000,372.9353566169739,366.0829951763153,0.07318706528016294
28000,401.5079848766327,394.1670603752136,0.07312094513989535
30000,430.10461616516113,422.29313349723816,0.07308835158081106
32000,458.6442403793335,450.3481924533844,0.07308296635654564
34000,487.32338213920593,478.5707824230194,0.07310443654776921
36000,515.9035112857819,506.6488494873047,0.07310941439595289
38000,544.4636378288269,534.7359161376953,0.07312455602969195
40000,572.9432544708252,562.7409708499908,0.07312688982173042
42000,602.1739661693573,591.46462059021,0.07309684272098842
44000,633.2874171733856,622.0245077610016,0.07309401654542659
46000,663.2817258834839,651.4762434959412,0.0731017928792328
48000,692.5024366378784,680.2288930416107,0.07312740759759441
50000,723.2398397922516,710.4677340984344,0.07313630936655229
