Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.17952275276184082,0.13001656532287598,0.07966101814746293
100,2.1882777214050293,2.0887651443481445,0.07419610880477184
200,4.312047481536865,4.157028436660767,0.0732927508625746
300,6.509826421737671,6.303299188613892,0.07366210776137463
400,8.657599449157715,8.3855619430542,0.07394759836990338
500,10.679856061935425,10.365311861038208,0.07394514673367296
600,12.740617990493774,12.382569313049316,0.07402573281002188
700,14.794878721237183,14.395825147628784,0.0741286288782073
800,16.879143238067627,16.443583726882935,0.07466033540618587
900,18.912901639938354,18.405333518981934,0.0746880398404677
1000,20.975663661956787,20.406588792800903,0.07469900628231954
1100,23.0499267578125,22.42934536933899,0.07469931093749457
1200,25.133691549301147,24.42910122871399,0.07450344928938475
1300,27.148447513580322,26.402353286743164,0.07473450868264098
1400,29.163703203201294,28.369104623794556,0.07483325018551468
1500,31.290473461151123,30.449368476867676,0.07472500521843431
1600,33.35823583602905,32.471625566482544,0.07460779231278432
1700,35.57751774787903,34.594894886016846,0.0744687951065245
1800,37.78279781341553,36.708163261413574,0.0744052714672226
1900,40.05558633804321,38.93494486808777,0.07437453799764039
2000,42.342376708984375,41.125221490859985,0.07442459048528165
4000,82.22544121742249,80.48521685600281,0.07477592926818881
6000,112.84032893180847,110.64604687690735,0.07490762103409608
8000,150.10856127738953,147.3912215232849,0.07493740215259764
10000,184.65494799613953,181.49554800987244,0.07497501330753521
12000,220.997563123703,217.38010215759277,0.07493921735798846
14000,251.56594467163086,247.54143476486206,0.07499012097549339
16000,281.01768469810486,276.5986225605011,0.07502420390681512
18000,320.2336645126343,315.2990334033966,0.07504108850377715
20000,350.7765429019928,345.46436738967896,0.07505746321168275
22000,383.09664702415466,377.3779149055481,0.07506349287852233
24000,422.692675113678,416.44887828826904,0.07502925595205467
26000,462.2141935825348,455.4498360157013,0.07503621234827439
28000,498.4943006038666,491.2393891811371,0.07504032466591856
30000,538.3163573741913,530.5423822402954,0.07503256546002457
32000,572.8317403793335,564.5942015647888,0.07502354544679087
34000,605.5008888244629,596.8533012866974,0.0750265841107951
36000,645.7870042324066,636.6173579692841,0.07502848136320911
38000,686.5501806735992,676.5054223537445,0.07503047578718512
40000,725.8356692790985,715.270845413208,0.07502516607896614
42000,765.1436607837677,754.0387682914734,0.07502203003081656
44000,791.6080214977264,780.0985729694366,0.07503001012516498
46000,827.9646382331848,815.991628408432,0.0750570712924165
48000,867.2926321029663,854.81756067276,0.0750598506125246
50000,906.6626312732697,893.6585078239441,0.0750600263927997
