Number of computed data,Average time spent in total,Relative standard deviation (total),Average time spent on the quantum circuit,Relative standard deviation (quantum)
1.0,0.11761488914489746,0.3692072300263375,0.08536078929901122,0.4401402514416127
100.0,1.8041290044784546,0.22195225517277334,1.7150175333023072,0.22572439714051004
200.0,3.5449000358581544,0.22867046260251156,3.4105830430984496,0.2318886230361237
300.0,5.307173895835876,0.23105116318591773,5.123400759696961,0.23316624943303918
400.0,7.05789623260498,0.2319734185334953,6.823766922950744,0.23408356720248752
500.0,8.808768486976623,0.23236486257180117,8.517332196235657,0.23358112766335956
600.0,10.722811579704285,0.21145747484856053,10.366917133331299,0.21269666225336037
700.0,12.595399379730225,0.2030656490412899,12.184897708892823,0.20471806840852055
800.0,14.444784164428711,0.20159065930472225,13.977625322341918,0.2029113145798727
900.0,16.23316125869751,0.2006622582324156,15.715696024894715,0.20186447282467057
1000.0,18.068494343757628,0.19908659751214577,17.49857277870178,0.2005324812339124
1100.0,19.959834480285643,0.1944380754279071,19.3389568567276,0.19556337026521123
1200.0,21.926634335517882,0.1866742179905814,21.243748903274536,0.1872472058924148
1300.0,23.854629111289977,0.18023149940286376,23.12308750152588,0.18070546653546846
1400.0,25.778073358535767,0.17502889406073643,24.99622497558594,0.1753385366142118
1500.0,27.70436797142029,0.17088656366416244,26.866762590408324,0.17107543740837816
1600.0,29.618460988998415,0.16737702944755506,28.729499077796937,0.16747169180402796
1700.0,31.511501383781432,0.16506413236738654,30.57138283252716,0.16513694590937641
1800.0,33.44779727458954,0.1628135459250268,32.45697238445282,0.16285772941920879
1900.0,35.40279552936554,0.16094296955094908,34.36161434650421,0.16099145636716336
2000.0,37.33989148139953,0.15938844260036503,36.2465035200119,0.15938952082123897
4000.0,75.8750848531723,0.1101790628592107,74.28138108253479,0.10990243129387266
6000.0,113.3528439283371,0.07290163820484698,111.2669281721115,0.0725703732605293
8000.0,151.59920060634613,0.07260251843843321,149.0052713394165,0.07240162896150856
10000.0,188.97194633483886,0.06699971308350416,185.89080574512482,0.06690028391814662
12000.0,227.0385302066803,0.0674407307878568,223.46352412700654,0.06733345015243992
14000.0,264.74456827640535,0.06550010540669203,260.6786493062973,0.06540745794829082
16000.0,301.85008001327515,0.06701793314690234,297.3069516181946,0.06697938832026035
18000.0,340.2810601234436,0.0631533728609728,335.22751853466036,0.06314870493704396
20000.0,378.2962374687195,0.06373939701786194,372.7513864278793,0.06374217734296699
22000.0,415.62882816791534,0.06533074322182711,409.58631274700167,0.06532504264260333
24000.0,453.7826230049133,0.06166629815733544,447.24409573078157,0.06167704795026943
26000.0,493.04590883255,0.056956340698336445,485.9988679885864,0.05697539432591199
28000.0,531.896942281723,0.05344351949206401,524.3400862455368,0.05348319907213242
30000.0,570.138598370552,0.05167862387769489,562.082080245018,0.051717681519724557
32000.0,608.330798125267,0.049268798100650414,599.7621647596359,0.04931587656987662
34000.0,646.9168979883194,0.04788397203946457,637.8480011463165,0.04792503240761084
36000.0,685.7899341583252,0.04587960211542072,676.216073846817,0.04591910565772931
38000.0,724.151005411148,0.04655532437588547,714.0482764720916,0.046637285036729106
40000.0,763.3146785736084,0.04449187294895733,752.7019837141037,0.044575458066858094
42000.0,802.8874536752701,0.043001804089969925,791.767995595932,0.043089188342107274
44000.0,840.1515356063843,0.04465064379088603,828.5431654930114,0.04476498846831221
46000.0,878.8623512983322,0.044028648652671344,866.7554672002792,0.04413658560178439
48000.0,918.050577545166,0.04241385569118882,905.4362824440002,0.042511137012236494
50000.0,957.2318029403687,0.040910695820059316,944.102041721344,0.04100622532265427
