Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,13.12316656,11.87700367,0.064663247
100,13.19717598,11.87700367,0.062834368
200,13.31919122,11.87700367,0.065594942
300,13.43320584,11.87700367,0.065725329
400,13.54371977,11.87700367,0.066853106
500,13.66323495,11.87700367,0.066697805
600,13.75974727,11.87700367,0.066855241
700,13.86676097,11.87700367,0.066775637
800,13.97827506,11.87700367,0.066613484
900,14.09228945,11.87700367,0.066668891
1000,14.20330358,11.87700367,0.066359144
1100,14.31331754,11.87700367,0.066210494
1200,14.42233133,11.87700367,0.06610379
1300,14.53384566,11.87700367,0.066428754
1400,14.64435959,11.87700367,0.066323705
1500,14.75387359,11.87700367,0.066289758
1600,14.86438751,11.87700367,0.066237816
1700,14.97740197,11.87700367,0.066181543
1800,15.08641577,11.87700367,0.066191188
1900,15.19642973,11.87700367,0.066284057
2000,15.30744386,11.87700367,0.066132641
4000,16.56110311,11.87700367,0.066906739
6000,17.7802577,11.87700367,0.066874612
8000,18.99341202,11.87700367,0.066945673
10000,20.62611938,11.87700367,0.067094009
12000,22.63487434,11.87700367,0.066867354
14000,24.66663241,11.87700367,0.066938026
16000,26.67788768,11.87700367,0.067009299
18000,28.71214604,11.87700367,0.067104928
20000,30.75990605,11.87700367,0.06704632
22000,32.77666211,11.87700367,0.067083164
24000,34.7789166,11.87700367,0.067165987
26000,36.84167814,11.87700367,0.067243874
28000,38.8614347,11.87700367,0.067299979
30000,40.90719461,11.87700367,0.067264794
32000,42.91694999,11.87700367,0.067255771
34000,44.95070815,11.87700367,0.067290846
36000,46.9724648,11.87700367,0.067291218
38000,48.98722076,11.87700367,0.067310489
40000,51.02097893,11.87700367,0.067292316
42000,53.03073406,11.87700367,0.067265975
44000,55.05949187,11.87700367,0.06729096
46000,57.07224727,11.87700367,0.067275383
48000,59.08350277,11.87700367,0.067286987
50000,61.12826228,11.87700367,0.067287959
