Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.08801102638244629,0.06700849533081055,0.06466324657659649
100,1.5401954650878906,1.4521842002868652,0.06283436768216408
200,2.9778780937194824,2.8448610305786133,0.06559494165946347
300,4.411060094833374,4.235537767410278,0.06572532890253698
400,5.9182515144348145,5.698222637176514,0.06685310554272236
500,7.3644349575042725,7.087898254394531,0.06669780490112973
600,8.798617124557495,8.478574514389038,0.06685524077691733
700,10.253802061080933,9.886754512786865,0.06677563713657088
800,11.760993242263794,11.349939346313477,0.06661348388250472
900,13.210177421569824,12.742115259170532,0.06666889142742911
1000,14.649360179901123,14.138292074203491,0.06635914395104561
1100,16.084542274475098,15.527969360351562,0.06621049397482831
1200,17.571231365203857,16.97315239906311,0.06610378999680432
1300,19.05091905593872,18.382832050323486,0.06642875407883621
1400,20.48660135269165,19.775007486343384,0.06632370531026069
1500,21.927784204483032,21.16868495941162,0.06628975789863414
1600,23.532488346099854,22.72988247871399,0.06623781599929647
1700,24.98817276954651,24.124560356140137,0.06618154255714596
1800,26.423855543136597,25.51673698425293,0.06619118790108565
1900,27.8465359210968,26.897412061691284,0.06628405674622938
2000,29.33572506904602,28.346596717834473,0.06613264108771298
4000,57.972861528396606,56.483171463012695,0.06690673900615439
6000,86.66250467300415,84.65524816513062,0.0668746122905469
8000,115.25263524055481,112.70681118965149,0.06694567314120932
10000,143.822762966156,140.7758710384369,0.06709400940625108
12000,172.46390008926392,168.93845009803772,0.0668673541556562
14000,201.0460295677185,197.02201557159424,0.06693802621649436
16000,229.77667784690857,225.21259236335754,0.06700929931619069
18000,258.20628786087036,253.13563752174377,0.06710492763279109
20000,286.6714024543762,281.1081864833832,0.0670463199455555
22000,315.21902775764465,309.1732552051544,0.06708316445680329
24000,343.9131712913513,337.3613302707672,0.06716598742151196
26000,372.502801656723,365.45089745521545,0.06724387352631576
28000,401.2134475708008,393.6639816761017,0.06729997887305936
30000,430.8422100543976,422.7666792869568,0.06726479435549389
32000,459.57885909080505,451.01726245880127,0.06725577103241487
34000,488.164489030838,479.1258337497711,0.06729084645267151
36000,516.886636018753,507.32041358947754,0.06729121793836534
38000,545.475766658783,535.3629772663116,0.06731048902315714
40000,574.0823993682861,563.4665439128876,0.06729231579386952
42000,602.6155223846436,591.4926009178162,0.06726597534487848
44000,631.3236677646637,619.6976833343506,0.06729096006433806
46000,659.8732931613922,647.7332470417023,0.06727538310012598
48000,688.4899270534515,675.8563153743744,0.06728698744900297
50000,717.1630680561066,704.0188937187195,0.06728795916326653
