Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.09501194953918457,0.07300925254821777,0.08603572452204004
100,2.028757333755493,1.9432475566864014,0.06109122814118766
200,4.034012079238892,3.904998302459717,0.06195337639803361
300,6.04726767539978,5.86474609375,0.06177008620713654
400,8.055522680282593,7.808493614196777,0.062248367067732194
500,10.090780973434448,9.775742530822754,0.06199808893157516
600,12.10353684425354,11.736491918563843,0.06211594477486881
700,14.111791849136353,13.68823790550232,0.062317007183730025
800,16.136048793792725,15.644486427307129,0.0621928315155806
900,18.09379744529724,17.54722833633423,0.06231738289337469
1000,20.091551065444946,19.499476194381714,0.06240718010982486
1100,22.15981388092041,21.509231328964233,0.062492643000953564
1200,24.214074850082397,23.514986515045166,0.06238477587592522
1300,26.21782898902893,25.477236032485962,0.06262174001969721
1400,28.326096773147583,27.52549433708191,0.06249694222610223
1500,30.340852737426758,29.476242780685425,0.06254928125259411
1600,32.379111528396606,31.447493076324463,0.06236759473337447
1700,34.333359718322754,33.35373401641846,0.06231763873622372
1800,36.3716185092926,35.35098934173584,0.062253556235311154
1900,38.35987091064453,37.29773664474487,0.062272147170276654
2000,40.38112759590149,39.24548530578613,0.06221650903041026
4000,79.93765068054199,78.3014452457428,0.06261161767757066
6000,119.43816661834717,117.29290056228638,0.06251056124385466
8000,159.23472023010254,156.57888793945312,0.06257912832566229
10000,199.00126957893372,195.80187249183655,0.06255428634430221
12000,238.62730169296265,234.90583634376526,0.062428605251906674
14000,278.01280307769775,273.78727412223816,0.062398396780295934
16000,317.62883377075195,312.8932538032532,0.062433005780508595
18000,357.05433988571167,351.79219007492065,0.06251730219199526
20000,396.9674081802368,391.1596875190735,0.06249178804619918
22000,436.726957321167,430.37266302108765,0.062464035708180494
24000,476.19796919822693,469.3406138420105,0.06248952401733844
26000,516.0385284423828,508.67910504341125,0.06254904798069646
28000,555.4455325603485,547.5955429077148,0.06257284915818018
30000,594.751523733139,586.3959753513336,0.06254825592938389
32000,634.4020586013794,625.5274467468262,0.06254485343169244
34000,674.0435926914215,664.6539120674133,0.06256599659284681
36000,713.3730869293213,703.4898436069489,0.06256744268126019
38000,753.1496376991272,742.7793226242065,0.06258228118558704
40000,792.731663942337,781.8242764472961,0.06259550987236197
42000,834.0649127960205,822.6379613876343,0.06255711062884171
44000,874.1239993572235,862.1984872817993,0.06257575406402877
46000,913.7230279445648,901.2819437980652,0.06259469542923635
48000,953.4235692024231,940.4479217529297,0.06261257057972194
50000,993.0320990085602,979.5093762874603,0.0626241619436513
