Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,14.39282799,12.8501246,0.065657606
100,14.52934504,12.8501246,0.063513457
200,14.65586114,12.8501246,0.065130406
300,14.78087711,12.8501246,0.064029023
400,14.90539289,12.8501246,0.064365575
500,15.02840853,12.8501246,0.064283173
600,15.15192413,12.8501246,0.064489929
700,15.2759397,12.8501246,0.064265353
800,15.39995575,12.8501246,0.064735747
900,15.52947187,12.8501246,0.064902933
1000,15.65498805,12.8501246,0.064854113
1100,15.77950382,12.8501246,0.064738626
1200,15.90502,12.8501246,0.064819487
1300,16.02903557,12.8501246,0.064943163
1400,16.15205121,12.8501246,0.064871437
1500,16.27506685,12.8501246,0.064896739
1600,16.39808226,12.8501246,0.064994322
1700,16.5210979,12.8501246,0.064932516
1800,16.64511395,12.8501246,0.064999172
1900,16.76862955,12.8501246,0.065014576
2000,16.89514542,12.8501246,0.065076408
4000,18.9419055,12.8501246,0.064682018
6000,20.97466373,12.8501246,0.064475228
8000,23.01242232,12.8501246,0.064487823
10000,25.04568052,12.8501246,0.064387349
12000,27.08443928,12.8501246,0.064458659
14000,29.10669613,12.8501246,0.064546177
16000,31.13895416,12.8501246,0.064578422
18000,33.15621042,12.8501246,0.064607268
20000,35.17546678,12.8501246,0.064583528
22000,37.19322324,12.8501246,0.064549604
24000,39.21247935,12.8501246,0.064542429
26000,41.24273729,12.8501246,0.064529779
28000,43.26249361,12.8501246,0.064557273
30000,45.43726993,12.8501246,0.064553203
32000,47.50753284,12.8501246,0.064574558
34000,49.52128839,12.8501246,0.064571034
36000,51.5525465,12.8501246,0.064608079
38000,53.56580186,12.8501246,0.064614859
40000,55.59255958,12.8501246,0.064608133
42000,57.60131454,12.8501246,0.064615625
44000,59.63607287,12.8501246,0.064634794
46000,60.97924352,12.8501246,0.064652512
48000,62.20489907,12.8501246,0.064624139
50000,63.41605306,12.8501246,0.064617896
