Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.10801362991333008,0.06950902938842773,0.06565760602995932
100,1.5536973476409912,1.4511840343475342,0.06351345675412971
200,2.997380495071411,2.8533623218536377,0.06513040564787143
300,4.4490649700164795,4.260541200637817,0.06402902287514206
400,5.93925404548645,5.705724239349365,0.06436557525282947
500,7.413441181182861,7.103902101516724,0.06428317260017502
600,8.861124992370605,8.505578756332397,0.06448992919167876
700,10.300307989120483,9.90125584602356,0.0642653529318929
800,11.792497396469116,11.345939636230469,0.06473574704518228
900,13.269185066223145,12.75261926651001,0.06490293334755728
1000,14.724369764328003,14.158297538757324,0.06485411321648343
1100,16.182554960250854,15.56947636604309,0.06473862633615608
1200,17.663743019104004,17.006157875061035,0.06481948710382178
1300,19.143430948257446,18.403836250305176,0.06494316319691767
1400,20.587114334106445,19.80201244354248,0.06487143743130291
1500,22.03129744529724,21.204189777374268,0.0648967390998898
1600,23.531487941741943,22.65837550163269,0.06499432190187807
1700,24.97767162322998,24.042052030563354,0.06493251610812725
1800,26.453859090805054,25.47023367881775,0.06499917153671773
1900,27.9580500125885,26.883914470672607,0.06501457578169499
2000,29.454240083694458,28.338098764419556,0.06507640809968378
4000,58.170886754989624,56.54018545150757,0.06468201807073069
6000,86.7975218296051,84.64825797080994,0.0644752284827863
8000,115.48266434669495,112.8233323097229,0.06448782319955039
10000,144.03679037094116,140.90239429473877,0.0643873485250067
12000,172.57191371917725,168.96145844459534,0.06445865864160422
14000,201.09303545951843,197.00002193450928,0.06454617684136504
16000,229.89319276809692,225.29811573028564,0.06457842156246406
18000,258.5673339366913,253.4526937007904,0.06460726805082863
20000,287.26947832107544,281.6797754764557,0.06458352831846077
22000,315.99012565612793,309.8938546180725,0.0645496039487377
24000,344.5677545070648,337.9889163970947,0.06454242888023368
26000,373.33240699768066,366.24800276756287,0.06452977921590072
28000,401.8665306568146,394.3040702342987,0.06455727327435651
30000,430.5871775150299,422.554158449173,0.0645532029667642
32000,459.03829050064087,450.5277123451233,0.06457455836435595
34000,487.716432094574,478.73929929733276,0.06457103445935025
36000,517.3631966114044,507.8239839076996,0.06460807920072283
38000,546.7244253158569,536.6751482486725,0.06461485863555547
40000,575.3470597267151,564.8387262821198,0.06460813315139843
42000,604.0532050132751,593.0603106021881,0.06461562493996585
44000,632.6148319244385,621.126368522644,0.0646347935016318
46000,661.3079752922058,649.3554518222809,0.06465251208456828
48000,689.9296097755432,677.4710195064545,0.06462413881570078
50000,718.535242319107,705.5960872173309,0.06461789551029422
