Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,13.14016843,11.91601849,0.074537601
100,13.21467805,11.91601849,0.072903257
200,13.32569218,11.91601849,0.073549509
300,13.4367063,11.91601849,0.072970079
400,13.55072093,11.91601849,0.073047902
500,13.66373515,11.91601849,0.073050067
600,13.77474928,11.91601849,0.072761801
700,13.88876367,11.91601849,0.07260266
800,14.00077772,11.91601849,0.072607812
900,14.11179185,11.91601849,0.072650274
1000,14.22630668,11.91601849,0.072626676
1100,14.33482003,11.91601849,0.07256408
1200,14.44483423,11.91601849,0.072536979
1300,14.55684853,11.91601849,0.07257938
1400,14.67036295,11.91601849,0.072525472
1500,14.78187704,11.91601849,0.072540376
1600,14.891891,11.91601849,0.072485262
1700,15.0039053,11.91601849,0.072612998
1800,15.11541939,11.91601849,0.072614045
1900,15.22743368,11.91601849,0.072712853
2000,15.33894753,11.91601849,0.072660976
4000,16.58060551,11.91601849,0.072589964
6000,17.79726005,11.91601849,0.072587479
8000,19.74550748,11.91601849,0.072501045
10000,21.76976442,11.91601849,0.072565076
12000,23.77101851,11.91601849,0.07252713
14000,25.80477667,11.91601849,0.07256664
16000,27.95004916,11.91601849,0.072511239
18000,29.96180463,11.91601849,0.072575724
20000,31.97055984,11.91601849,0.072580442
22000,33.98881626,11.91601849,0.072604823
24000,36.01107287,11.91601849,0.072621919
26000,38.04233074,11.91601849,0.072642319
28000,40.0425849,11.91601849,0.072633619
30000,42.06284118,11.91601849,0.0726207
32000,44.12960362,11.91601849,0.072636108
34000,46.21736884,11.91601849,0.072656643
36000,48.28313112,11.91601849,0.072664206
38000,50.28388524,11.91601849,0.072676884
40000,52.3626492,11.91601849,0.072671156
42000,54.47141695,11.91601849,0.072635497
44000,56.4961741,11.91601849,0.072628118
46000,58.49842834,11.91601849,0.07261812
48000,60.50918365,11.91601849,0.072603834
50000,62.54344201,11.91601849,0.072598571
