Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.10901379585266113,0.07400918006896973,0.08438920257530876
100,2.044259548187256,1.94974684715271,0.08468000116401793
200,4.0055084228515625,3.869990348815918,0.08575285043345916
300,5.994261264801025,5.816238641738892,0.08635580870951842
400,8.00801682472229,7.7594850063323975,0.0856685629151109
500,10.010771036148071,9.688230276107788,0.08596848889193114
600,12.022526741027832,11.608473539352417,0.08615244044124709
700,13.999777793884277,13.545220375061035,0.0866990611441562
800,15.995030879974365,15.459462881088257,0.08631363982032157
900,17.914774894714355,17.34020185470581,0.08635912780832113
1000,19.880024194717407,19.262946128845215,0.08615772648019071
1100,21.853775024414062,21.192692756652832,0.08612183859781378
1200,23.84552788734436,23.097434520721436,0.08577904522378212
1300,25.965796947479248,25.174696922302246,0.08529297384037716
1400,27.935047388076782,27.103942394256592,0.08560580400580915
1500,29.955803871154785,29.036689519882202,0.08542722840748086
1600,31.961058378219604,30.9559326171875,0.08545737681654114
1700,33.879802227020264,32.835671186447144,0.08539307964370718
1800,35.924561738967896,34.83942484855652,0.08533618706481418
1900,37.88931107521057,36.766669273376465,0.08522825807226954
2000,39.85956144332886,38.69641423225403,0.08523041234307976
4000,78.83000993728638,77.16979742050171,0.08500752662213229
6000,117.72844934463501,115.60918378829956,0.08514552229604057
8000,156.78340911865234,154.1770796775818,0.08513990940560405
10000,195.44481825828552,192.38443040847778,0.08519571472435464
12000,234.27874970436096,230.75329899787903,0.0852285617994519
14000,272.8886525630951,268.8826379776001,0.08523638826533135
16000,311.5615632534027,307.0724880695343,0.0851921870749283
18000,350.40649580955505,345.4338631629944,0.0850829444065905
20000,389.21542406082153,383.77723956108093,0.0851072050666206
22000,428.11836409568787,422.19311261177063,0.0851549562843877
24000,466.95929622650146,460.54647850990295,0.08524799134130091
26000,505.73472023010254,498.84884095191956,0.08521019487237022
28000,544.5231456756592,537.1477000713348,0.085172784729914
30000,583.2725660800934,575.3805599212646,0.08523233480861966
32000,622.3000218868256,613.9119455814362,0.08514991703203123
34000,661.2064626216888,652.3428311347961,0.08512864775950055
36000,699.9818863868713,690.6341919898987,0.08510710300775151
38000,739.7329339981079,729.9021763801575,0.08511437402253501
40000,778.7043828964233,768.4040603637695,0.0851385284663859
42000,817.4853074550629,806.7159252166748,0.08519538395287576
44000,856.06520652771,844.7922558784485,0.08518140720010227
46000,894.9001379013062,883.1426255702972,0.0851425780151575
48000,933.6275556087494,921.3964829444885,0.08517315465395352
50000,972.6550114154816,959.9493765830994,0.08518810992794677
