Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.09351158142089844,0.07350897789001465,0.08044812210274029
100,2.0137555599212646,1.9267432689666748,0.059842755045053486
200,3.986006021499634,3.8414859771728516,0.05935652321044205
300,5.942754507064819,5.758729457855225,0.05911380193443674
400,7.918005466461182,7.695976495742798,0.0593199085474193
500,9.935261487960815,9.627723455429077,0.05947585945712745
600,11.93751573562622,11.544968843460083,0.05932587227743148
700,13.885762929916382,13.44870924949646,0.059395029426243424
800,15.853513240814209,15.371954202651978,0.059315892249691124
900,17.747753381729126,17.226688861846924,0.059360890442456925
1000,19.7490074634552,19.160435676574707,0.059465085763847264
1100,21.763263463974,21.087681770324707,0.05943729427349394
1200,23.76951837539673,23.009424924850464,0.059470142946251116
1300,25.73826837539673,24.93867063522339,0.05971343312324526
1400,27.750523805618286,26.860912799835205,0.05950413218716672
1500,29.71427297592163,28.7826566696167,0.059681865712300726
1600,31.66852116584778,30.69640040397644,0.05967268387426147
1700,33.705779790878296,32.68965196609497,0.05962933030891031
1800,35.67552995681763,34.61389660835266,0.05952606295822031
1900,37.68228507041931,36.529640436172485,0.05958426887520998
2000,39.64353394508362,38.44838285446167,0.05954485543965045
4000,78.41195702552795,76.7387387752533,0.059839549437351675
6000,117.01035809516907,114.82957148551941,0.05978860324587416
8000,156.03631401062012,153.32645630836487,0.059775915602328845
10000,194.84474205970764,191.615825176239,0.0597761264266569
12000,233.91770362854004,230.15071725845337,0.059724089336416195
14000,272.5376076698303,268.2815589904785,0.05971043955265369
16000,311.2870280742645,306.5229196548462,0.059754600896818895
18000,350.2719786167145,345.00380873680115,0.05982213121093123
20000,389.1854202747345,383.381685256958,0.0598288621678041
22000,427.84232902526855,421.4730305671692,0.05983292708562532
24000,466.7202658653259,459.8403956890106,0.059841868928238916
26000,505.45568466186523,498.0597519874573,0.05989273093037087
28000,544.1525983810425,536.2571029663086,0.05991665399037803
30000,582.9690275192261,574.5524635314941,0.0598710241738478
32000,621.6284365653992,612.6883015632629,0.0599026135675936
34000,660.4093613624573,650.9596602916718,0.05994066606760257
36000,699.0732707977295,689.0790073871613,0.05992835211755154
38000,737.7781856060028,727.2828550338745,0.05991724837017885
40000,776.6071164608002,765.5997190475464,0.05989737571065842
42000,815.328033208847,803.8165662288666,0.05990271838195189
44000,854.178466796875,842.1604359149933,0.05988868110658405
46000,892.9293875694275,880.428793668747,0.05990363766932054
48000,931.6188004016876,918.6286499500275,0.05988744821710169
50000,970.4317290782928,956.912505865097,0.0598971365551124
