Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.12551593780517578,0.07100892066955566,0.062388391041494295
100,2.0372586250305176,1.9217445850372314,0.08058923934424424
200,4.027511358261108,3.851490020751953,0.08055320029553556
300,6.039267063140869,5.774235010147095,0.08060962986826836
400,8.01701807975769,7.7119810581207275,0.08125547318950996
500,10.020772457122803,9.633225440979004,0.0813140556493421
600,12.032527685165405,11.555969715118408,0.08156057346011715
700,14.000777959823608,13.479213953018188,0.08176864094846499
800,16.138049125671387,15.524974822998047,0.08202398620903831
900,18.16780686378479,17.487223863601685,0.08190552517468376
1000,20.19106388092041,19.455474615097046,0.08183914178886612
1100,22.268327474594116,21.491233825683594,0.08192220857613294
1200,24.314587593078613,23.455981492996216,0.08179257922465696
1300,26.31084108352661,25.398229360580444,0.08191272212532895
1400,28.32309651374817,27.34247660636902,0.08199757954019403
1500,30.33485198020935,29.279222011566162,0.0818598360699256
1600,32.3456072807312,31.215469121932983,0.08180034120045544
1700,34.29035425186157,33.07920455932617,0.08165654954087326
1800,36.25360345840454,34.987446308135986,0.08172936387233427
1900,38.21035194396973,36.90268921852112,0.08161844543999412
2000,40.166600465774536,38.81743097305298,0.08159155035913818
4000,79.00003170967102,77.17280006408691,0.08182189275186977
6000,117.6884446144104,115.37714982032776,0.08189892781308548
8000,156.99243545532227,154.17407608032227,0.08196079543996096
10000,196.17241072654724,192.83148670196533,0.08198253229128166
12000,235.31538128852844,231.4843933582306,0.08202732798545276
14000,274.46735310554504,270.1423008441925,0.08205638519540236
16000,313.8143494129181,308.9872395992279,0.08208212433221548
18000,352.8113012313843,347.48412322998047,0.08208703760930523
20000,391.90276527404785,386.09153151512146,0.08206992135995582
22000,430.6616871356964,424.3678970336914,0.08204957198187203
24000,469.8016571998596,463.0053069591522,0.08209186574204488
26000,508.9006221294403,501.60620617866516,0.0821517824676265
28000,547.8090627193451,540.0145809650421,0.08215099655627002
30000,586.9115283489227,578.6179890632629,0.08216198634804964
32000,626.2485234737396,617.4069168567657,0.08217036894699882
34000,665.2504761219025,655.8903069496155,0.08218907229146459
36000,704.3379395008087,694.5092129707336,0.08220201411112425
38000,743.1958739757538,732.8570816516876,0.08218874390598711
40000,782.4373569488525,771.6110026836395,0.08216843881994158
42000,823.6530907154083,812.3301758766174,0.08216420406217133
44000,862.5870344638824,850.7815573215485,0.08217342648946753
46000,901.7295050621033,889.4629650115967,0.08217943337499956
48000,940.7544605731964,927.9918587207794,0.0822062906532274
50000,979.6584007740021,966.4082396030426,0.08221724631649285
