Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.08951139450073242,0.06950879096984863,0.07118180175538111
100,1.5291943550109863,1.4436819553375244,0.07336406120928031
200,2.9493744373321533,2.822357416152954,0.07388340777847525
300,4.385056734085083,4.2180352210998535,0.07361514806128472
400,5.869245529174805,5.657717943191528,0.07390349442917309
500,7.323930263519287,7.044893741607666,0.07404246019203353
600,8.747110843658447,8.432070016860962,0.0741958810219696
700,10.18129301071167,9.827247858047485,0.0740643831213394
800,11.656980514526367,11.258929967880249,0.0745521881426859
900,13.121666431427002,12.638105392456055,0.07445386748912919
1000,14.54734754562378,14.025782108306885,0.07453460340699793
1100,15.982529640197754,15.415959358215332,0.07470086908766589
1200,17.459217309951782,16.856641054153442,0.07455308327079856
1300,18.9169020652771,18.237316846847534,0.07490712970598279
1400,20.344083547592163,19.624993324279785,0.07482865564185659
1500,21.77326488494873,21.016669988632202,0.0747965655788394
1600,23.244951963424683,22.44135093688965,0.0746579939569041
1700,24.71513867378235,23.826025247573853,0.07456413852820078
1800,26.14932084083557,25.217201948165894,0.0745823409579311
1900,27.559999704360962,26.5873761177063,0.07448861218619432
2000,29.046688556671143,28.030558824539185,0.07442083296626116
4000,58.15738534927368,56.63368844985962,0.07474033508347282
6000,86.57249331474304,84.53522872924805,0.07457461196769719
8000,115.13412022590637,112.56528663635254,0.07460974645892472
10000,143.6897463798523,140.6393482685089,0.07463622902239143
12000,172.22687005996704,168.6994080543518,0.07459564203132199
14000,200.4659562110901,196.4619369506836,0.07466811624597301
16000,229.02008199691772,224.54300236701965,0.07464942899883614
18000,257.39218497276306,252.4220426082611,0.07474434049797127
20000,285.7052800655365,280.21606826782227,0.07471611274125628
22000,314.1853964328766,308.2366237640381,0.07467931891247843
24000,342.6330089569092,336.148672580719,0.07468073482692589
26000,371.1046245098114,364.1472282409668,0.07472870593980016
28000,399.4932293891907,392.06677412986755,0.07469416903325589
30000,428.0018494129181,420.07032680511475,0.07471070136902418
32000,456.3929545879364,447.96437430381775,0.07471561455010464
34000,484.7400543689728,475.8424198627472,0.07473252281428552
36000,513.1146574020386,503.7524597644806,0.07475593792746466
38000,541.593273639679,531.7055113315582,0.07475820644158046
40000,570.0003809928894,559.6305594444275,0.07474940488617467
42000,598.5910115242004,587.7166211605072,0.07472895457291051
44000,627.0366237163544,615.6336646080017,0.07474573935215002
46000,655.5427436828613,643.6677196025848,0.0747595296522083
48000,683.9663529396057,671.6012687683105,0.07477246776966548
50000,712.3349552154541,699.4673070907593,0.0747555480641286
