Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,12.9041388,11.67048264,0.071181802
100,12.97814822,11.67048264,0.073364061
200,13.09316278,11.67048264,0.073883408
300,13.20417666,11.67048264,0.073615148
400,13.31419063,11.67048264,0.073903494
500,13.42770505,11.67048264,0.07404246
600,13.53671885,11.67048264,0.074195881
700,13.64873314,11.67048264,0.074064383
800,13.76024723,11.67048264,0.074552188
900,13.87376189,11.67048264,0.074453867
1000,13.98627615,11.67048264,0.074534603
1100,14.09528995,11.67048264,0.074700869
1200,14.20430374,11.67048264,0.074553083
1300,14.31631804,11.67048264,0.07490713
1400,14.42733216,11.67048264,0.074828656
1500,14.53934622,11.67048264,0.074796566
1600,14.64836025,11.67048264,0.074657994
1700,14.76187444,11.67048264,0.074564139
1800,14.8723886,11.67048264,0.074582341
1900,14.98290253,11.67048264,0.074488612
2000,15.09391665,11.67048264,0.074420833
4000,16.39908242,11.67048264,0.074740335
6000,17.70424819,11.67048264,0.074574612
8000,19.00541329,11.67048264,0.074609746
10000,20.37608767,11.67048264,0.074636229
12000,22.48735571,11.67048264,0.074595642
14000,24.71813893,11.67048264,0.074668116
16000,26.87941337,11.67048264,0.074649429
18000,28.94417548,11.67048264,0.07474434
20000,31.01393819,11.67048264,0.074716113
22000,33.14120841,11.67048264,0.074679319
24000,35.25947738,11.67048264,0.074680735
26000,37.3642447,11.67048264,0.074728706
28000,39.45250988,11.67048264,0.074694169
30000,41.55527687,11.67048264,0.074710701
32000,43.66954517,11.67048264,0.074715615
34000,45.77731299,11.67048264,0.074732523
36000,47.8475759,11.67048264,0.074755938
38000,49.96834517,11.67048264,0.074758206
40000,52.09511518,11.67048264,0.074749405
42000,54.20938373,11.67048264,0.074728955
44000,56.3196516,11.67048264,0.074745739
46000,58.44392133,11.67048264,0.07475953
48000,60.56569099,11.67048264,0.074772468
50000,62.67045808,11.67048264,0.074755548
