Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,13.24068141,11.96402144,0.050917545
100,13.31719112,11.96402144,0.074533199
200,13.47921181,11.96402144,0.075979616
300,13.60622787,11.96402144,0.074168109
400,13.7387445,11.96402144,0.075733051
500,13.87026119,11.96402144,0.075367283
600,13.99977779,11.96402144,0.075562923
700,14.12729383,11.96402144,0.075396075
800,14.25381017,11.96402144,0.076115186
900,14.4208312,11.96402144,0.076220985
1000,14.5528481,11.96402144,0.076592943
1100,14.68136454,11.96402144,0.07658969
1200,14.80838037,11.96402144,0.076638849
1300,14.94989848,11.96402144,0.077109079
1400,15.07541418,11.96402144,0.07716819
1500,15.20243049,11.96402144,0.077118195
1600,15.32844639,11.96402144,0.077022233
1700,15.46596408,11.96402144,0.076906565
1800,15.59148002,11.96402144,0.076913228
1900,15.71949625,11.96402144,0.076854834
2000,15.84851241,11.96402144,0.07664313
4000,17.91127443,11.96402144,0.076910079
6000,19.95053339,11.96402144,0.076768496
8000,21.97679067,11.96402144,0.076641904
10000,24.01955009,11.96402144,0.076789134
12000,26.06481004,11.96402144,0.076633226
14000,28.20558167,11.96402144,0.076625477
16000,30.26034284,11.96402144,0.076567889
18000,32.31460357,11.96402144,0.076710477
20000,34.35986328,11.96402144,0.076616145
22000,36.4001224,11.96402144,0.076561092
24000,38.45238304,11.96402144,0.07660399
26000,40.49164176,11.96402144,0.076701521
28000,42.62341237,11.96402144,0.076614906
30000,44.7671845,11.96402144,0.076596479
32000,46.81394458,11.96402144,0.076613158
34000,48.85520387,11.96402144,0.0766409
36000,50.91096497,11.96402144,0.076701649
38000,52.94622326,11.96402144,0.076696466
40000,54.97948146,11.96402144,0.076674387
42000,57.0092392,11.96402144,0.076636398
44000,59.03649664,11.96402144,0.076671837
46000,61.10275912,11.96402144,0.076685679
48000,63.14001799,11.96402144,0.076700323
50000,65.17477632,11.96402144,0.076715241
