Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.0635080337524414,0.05200672149658203,0.05601875395115592
100,1.151646375656128,1.0731370449066162,0.0655771975240843
200,2.2497856616973877,2.146273136138916,0.06411264975950555
300,3.35892653465271,3.2204103469848633,0.06385990077656446
400,4.465067148208618,4.2935473918914795,0.063949287935294
500,5.572207450866699,5.3606812953948975,0.06407500729991007
600,6.684348821640015,6.430816411972046,0.06390659616891221
700,7.793489456176758,7.501951456069946,0.06397559145742861
800,8.90363073348999,8.573087453842163,0.063715528465478
900,9.977266788482666,9.609719038009644,0.06348441916436637
1000,11.14641547203064,10.704859256744385,0.06357433792350022
1100,12.659607648849487,12.185547351837158,0.0637627110734542
1200,14.623857021331787,14.108791828155518,0.06367725818948522
1300,16.58310580253601,16.02303409576416,0.06389314210076535
1400,18.538853883743286,17.94027829170227,0.06366395333052202
1500,20.497102737426758,19.856521606445312,0.06372339633325894
1600,22.456851482391357,21.773265838623047,0.06367418346304059
1700,24.353092432022095,23.623002290725708,0.06369030034254929
1800,26.319842100143433,25.527745246887207,0.06361048199303677
1900,28.278090953826904,27.442490816116333,0.06359827789008864
2000,30.248841047286987,29.367734909057617,0.06350806099879837
4000,69.1747841835022,67.74360227584839,0.06374604440743145
6000,107.8021891117096,105.8244457244873,0.06374898968812921
8000,146.5191056728363,144.01280426979065,0.06370252128339589
10000,172.08485198020935,169.2265121936798,0.06375214763467453
12000,210.7002556324005,207.3248553276062,0.06371443976103193
14000,249.49968242645264,245.6212179660797,0.06367287596394396
16000,283.80803894996643,279.4730098247528,0.0636558804147944
18000,317.2787892818451,312.4722013473511,0.06369068450686025
20000,355.99220538139343,350.6915545463562,0.0637078433920133
22000,394.5761048793793,388.75738167762756,0.0636609107304508
24000,428.8264539241791,422.512668132782,0.06363410339679816
26000,467.34884572029114,460.51699805259705,0.06369756781123032
28000,505.877238035202,498.5278265476227,0.0636396996468288
30000,534.8599185943604,527.1504652500153,0.06360659635070215
32000,573.4618203639984,565.2067952156067,0.06363654992869264
34000,612.1882379055023,603.4221451282501,0.06365933866218151
36000,647.1331753730774,637.9345290660858,0.06364244000748832
38000,686.2921481132507,676.584935426712,0.0636307540071519
40000,725.0310671329498,714.8192837238312,0.06364946382598485
42000,763.7139792442322,753.0151388645172,0.0636572010859925
44000,799.0249631404877,787.8270578384399,0.0636199801159297
46000,839.7936403751373,828.0291652679443,0.06362185505434599
48000,878.8956055641174,866.6360726356506,0.06363012968967356
50000,917.8115472793579,905.0314455032349,0.06362533648283826
