Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.06650853157043457,0.05100655555725098,0.08177749648149167
100,1.1676483154296875,1.089137315750122,0.07049859080547513
200,2.264787435531616,2.1607723236083984,0.07053091807331868
300,3.3794291019439697,3.241910219192505,0.07065992782796218
400,4.490070343017578,4.323547840118408,0.07129055368901942
500,5.588709592819214,5.3996851444244385,0.07123509116657942
600,6.694850206375122,6.471820831298828,0.07122363403238476
700,7.802990913391113,7.546957015991211,0.07116239950669152
800,8.912131547927856,8.624593734741211,0.07148402496801422
900,9.979767322540283,9.66022539138794,0.07151576098317919
1000,11.076406478881836,10.732861757278442,0.07153804564164026
1100,12.18754768371582,11.813498497009277,0.07139714213198313
1200,13.293188095092773,12.894136428833008,0.07162475672525055
1300,14.40082859992981,13.970771551132202,0.07158530507315425
1400,15.509969711303711,15.047409296035767,0.07174779705948807
1500,16.616610050201416,16.126047134399414,0.0717034971270481
1600,17.7232506275177,17.202183723449707,0.07173408148752157
1700,18.79188632965088,18.235315322875977,0.07186516908997322
1800,19.891525983810425,19.31345295906067,0.07192674416805238
1900,21.000666856765747,20.392088890075684,0.07199356345514007
2000,22.101806640625,21.45872449874878,0.07206582629665473
4000,52.81620693206787,51.77556586265564,0.07165893510542616
6000,91.50461983680725,89.97291278839111,0.07164833697869763
8000,121.05637216567993,119.12161350250244,0.0716517489143038
10000,159.31973123550415,156.88340592384338,0.07148372144792157
12000,188.7649703025818,185.96259307861328,0.07156299014868289
14000,222.09520268440247,218.8782696723938,0.07154100639880044
16000,254.86186337471008,251.22736835479736,0.07155746646524093
18000,291.3354949951172,287.18994760513306,0.07152684506498526
20000,324.4552004337311,319.8791003227234,0.07155498852725548
22000,353.86293482780457,348.8962905406952,0.0715880735652009
24000,390.61310148239136,385.1688995361328,0.07158485395227919
26000,429.89058923721313,423.932820558548,0.07154921136240944
28000,469.3941056728363,462.8962643146515,0.07156677767310997
30000,508.64658999443054,501.643185377121,0.07159082011750476
32000,547.804062128067,540.2890934944153,0.07162430640829662
34000,586.8290178775787,578.8179850578308,0.0716262227694595
36000,625.6544480323792,617.1278493404388,0.07161762733074528
38000,653.4004712104797,644.5303316116333,0.0715952176694398
40000,691.946366071701,682.5601644515991,0.07157192674081908
42000,730.4892601966858,720.6069977283478,0.07156441413223777
44000,765.4366981983185,755.1088795661926,0.07156971658107364
46000,800.2456181049347,789.4827499389648,0.07157166286968508
48000,838.678998708725,827.4155685901642,0.07153190460135672
50000,877.2408955097198,865.4818966388702,0.07151682852609793
