Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,16.48109269,14.75937557,0.062106294
100,16.60110784,14.75937557,0.090949975
200,16.72812414,14.75937557,0.088402066
300,16.85163975,14.75937557,0.088147025
400,16.97865582,14.75937557,0.086676511
500,17.10367179,14.75937557,0.08755498
600,17.2251873,14.75937557,0.086852467
700,17.34920287,14.75937557,0.086964937
800,17.48321986,14.75937557,0.087232007
900,17.6312387,14.75937557,0.086813735
1000,17.74975371,14.75937557,0.086677341
1100,17.87226915,14.75937557,0.086825501
1200,17.99428487,14.75937557,0.086533435
1300,18.12080097,14.75937557,0.086393653
1400,18.24381661,14.75937557,0.086839333
1500,18.36683202,14.75937557,0.086656897
1600,18.48734736,14.75937557,0.086655559
1700,18.60936284,14.75937557,0.086567654
1800,18.73037839,14.75937557,0.086884129
1900,18.8513937,14.75937557,0.086741698
2000,18.97490931,14.75937557,0.086805021
4000,20.98916531,14.75937557,0.087230912
6000,23.0049212,14.75937557,0.087930853
8000,25.04468012,14.75937557,0.088014725
10000,27.07243752,14.75937557,0.088255989
12000,29.14870143,14.75937557,0.088174946
14000,31.21046305,14.75937557,0.088134571
16000,33.22921944,14.75937557,0.088042146
18000,35.24347544,14.75937557,0.087940444
20000,37.26073122,14.75937557,0.088101583
22000,39.27798748,14.75937557,0.088060225
24000,41.29124308,14.75937557,0.088050812
26000,43.3114996,14.75937557,0.088014584
28000,45.33475685,14.75937557,0.087950658
30000,47.36501431,14.75937557,0.087997385
32000,49.38577104,14.75937557,0.087980068
34000,51.42302966,14.75937557,0.087986265
36000,53.43978596,14.75937557,0.088035396
38000,55.45054126,14.75937557,0.088025528
40000,57.47629833,14.75937557,0.088058924
42000,59.49905515,14.75937557,0.088076348
44000,61.5188117,14.75937557,0.088027975
46000,63.55307031,14.75937557,0.088045389
48000,65.60633087,14.75937557,0.088064509
50000,67.62708759,14.75937557,0.088066849
