Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.09601235389709473,0.06500840187072754,0.0621062936137179
100,1.5531973838806152,1.4491851329803467,0.09094997484169443
200,3.016383409500122,2.864366292953491,0.0884020657345828
300,4.460566520690918,4.263543605804443,0.0881470250777991
400,5.963257551193237,5.718228816986084,0.08667651113352054
500,7.429943561553955,7.122907400131226,0.08755497988764938
600,8.8911292552948,8.539086818695068,0.08685246733439148
700,10.343313694000244,9.948766469955444,0.08696493689263743
800,11.848505020141602,11.410452365875244,0.08723200730379406
900,13.322191953659058,12.82363224029541,0.08681373534259314
1000,14.785377740859985,14.24431324005127,0.08667734078065983
1100,16.2275607585907,15.641989707946777,0.08682550052922886
1200,17.71975040435791,17.08767342567444,0.08653343458948361
1300,19.19043731689453,18.48935055732727,0.08639365289594103
1400,20.641621351242065,19.896029233932495,0.08683933334324731
1500,22.08580493927002,21.29220724105835,0.08665689656889382
1600,23.58499526977539,22.7458918094635,0.08665555895258159
1700,25.054181814193726,24.15407109260559,0.08656765427257031
1800,26.504365921020508,25.55724835395813,0.08688412857163452
1900,27.95805048942566,26.963926792144775,0.08674169806447696
2000,29.46424174308777,28.421613216400146,0.08680502056452162
4000,58.93748426437378,57.35878586769104,0.08723091246458484
6000,87.79614877700806,85.72389125823975,0.08793085349296595
8000,116.8763415813446,114.29401850700378,0.08801472493018743
10000,145.77151083946228,142.6426181793213,0.08825598948474346
12000,174.72918796539307,171.09923243522644,0.08817494615094984
14000,203.48783993721008,199.36132073402405,0.088134571123936
16000,232.4085123538971,227.77292895317078,0.08804214641090256
18000,261.1996684074402,256.08252811431885,0.08794044449437009
20000,290.15784549713135,284.4876403808594,0.08810158318563614
22000,318.9875066280365,312.8322398662567,0.08806022539693045
24000,347.9211804866791,341.26435589790344,0.08805081152010104
26000,376.7588424682617,369.596955537796,0.08801458399396948
28000,405.7015178203583,398.0510721206665,0.0879506583416482
30000,434.46717071533203,426.30166721343994,0.08799738545306612
32000,463.3443374633789,454.676771402359,0.0879800680819554
34000,492.0694851875305,482.8488473892212,0.08798626501618932
36000,520.888144493103,511.1284327507019,0.08803539558249703
38000,549.8433213233948,539.5400471687317,0.08802552830966105
40000,578.8059992790222,568.0031623840332,0.08805892383082738
42000,607.8121826648712,596.515780210495,0.0880763483158973
44000,636.6858491897583,624.8728806972504,0.08802797477650041
46000,665.6500270366669,653.3444993495941,0.08804538854160919
48000,694.4896891117096,681.6901004314423,0.08806450854862725
50000,723.4368650913239,710.1502184867859,0.0880668494455269
